Word	AFINN	freq	avg_AFINN	sd_AFINN
a	0	3415	-0.466	1.787
aa	-1	57	-1.116	1.367
ab	-1	6	-1.277	2.189
aba	-1	5	-0.610	1.046
abančen	0	3	-0.443	1.443
abc	0	28	0.121	1.564
abe	-1	1	-0.860	0.000
abeceda	0	1	0.390	0.000
abeceden	2	3	1.640	2.500
abecednik	2	1	1.640	0.000
abjar	4	1	4.140	0.000
abonent	2	3	2.057	0.722
abonentski	2	3	1.779	0.241
abonma	0	8	0.182	2.294
abonmajski	0	1	0.390	0.000
abraham	0	4	0.390	1.768
absoluten	1	36	0.598	2.069
absolutist	-2	1	-2.110	0.000
absolutističen	0	1	0.390	0.000
absolvent	0	5	-0.339	2.215
absolventski	0	1	0.390	0.000
absorbirati	0	5	-0.235	1.250
absorpcijski	2	2	1.640	0.000
abstiniranje	3	2	2.890	0.000
absurd	-1	10	-1.402	1.608
absurden	-1	19	-1.215	1.395
absurdno	1	2	1.015	0.884
absurdnost	-2	1	-2.110	0.000
abs.	3	1	2.890	0.000
ac	0	18	0.390	2.134
act	0	1	0.390	0.000
ad	0	15	-0.304	1.914
adam	1	6	1.223	2.041
adaptacija	2	4	1.640	0.000
adaptirati	0	1	0.390	0.000
adenski	-2	1	-2.110	0.000
adidas	1	12	1.185	3.273
adidasov	2	2	2.265	2.652
adijo	2	2	2.265	4.419
adirati	0	1	0.390	0.000
aditiv	-1	1	-0.860	0.000
administracija	0	74	-0.272	2.045
administrativa	-1	1	-0.860	0.000
administrativen	0	87	0.090	2.024
administrator	0	5	-0.360	2.437
administratorka	-2	1	-2.110	0.000
admiral	1	5	1.390	1.046
admiralski	0	1	0.390	0.000
adrenalin	2	7	2.473	2.083
adrenalinski	3	9	2.890	1.875
adresar	3	1	2.890	0.000
adrija	-1	2	-1.485	2.652
adut	0	7	-0.384	1.823
advent	0	1	0.390	0.000
adventen	1	2	1.432	1.473
advokat	-1	1	-0.860	0.000
ad hoc	-1	10	-0.777	1.942
aeroben	3	1	2.890	0.000
aerobika	3	1	2.890	0.000
aerodinamičen	2	2	2.265	0.884
aerodrom	0	290	0.214	2.755
aeroinženiring	2	1	1.640	0.000
aeronavtičen	0	5	-0.110	3.260
aeronavtika	5	1	5.390	0.000
aerosol	-2	1	-2.110	0.000
aero...	0	317	0.288	2.715
afera	-1	181	-0.992	1.677
aferica	-3	2	-2.735	0.884
afganistanec	3	3	2.890	1.250
afganistanski	0	3	0.390	0.000
aflatoksin	-3	10	-2.860	2.058
afričan	0	3	-0.443	3.819
afrika	1	72	0.939	2.301
afriški	1	32	0.686	2.061
afroameriški	2	1	1.640	0.000
aga	0	3	0.390	0.000
agencija	0	2302	-0.156	1.892
agencijin	0	1	0.390	0.000
agencijski	-1	43	-1.037	2.145
agenda	0	6	0.390	2.092
agent	0	21	0.152	1.880
agentski	1	4	1.328	1.197
agilen	0	1	0.390	0.000
agitacija	-2	1	-2.110	0.000
agitirati	0	1	0.390	0.000
aglomeracija	3	1	2.890	0.000
agnostik	-2	1	-2.110	0.000
agon	-1	2	-0.860	1.768
agonija	-1	70	-1.374	1.767
agraren	-1	14	-1.052	1.756
agregat	-1	13	-0.671	1.904
agregaten	2	4	1.640	1.768
agresija	-1	5	-1.110	2.236
agresiven	0	37	-0.198	2.093
agresivno	0	8	-0.131	2.623
agresivnost	1	8	0.963	2.170
agresorski	3	1	2.890	0.000
agrikulturen	2	1	1.640	0.000
agronom	-2	1	-2.110	0.000
agronomski	0	1	0.390	0.000
agroživilski	1	2	1.015	0.884
agroživilstvo	3	2	3.098	1.473
agrumi	3	1	2.890	0.000
agr.	1	8	0.671	1.961
ah	0	5	0.390	2.339
aha	0	83	0.082	1.830
ahilov	2	1	1.640	0.000
ahistoričen	0	1	0.390	0.000
aids	-1	17	-0.572	3.152
air	1	79	0.560	2.298
airbus	1	67	1.247	2.174
airbusov	2	11	1.867	1.839
aires	1	6	1.015	1.896
ais	0	1	0.390	0.000
aja	-2	1	-2.110	0.000
ajda	2	3	2.057	1.443
ajdnik	-1	2	-0.860	1.768
ajdovec	3	1	2.890	0.000
ajdovski	0	112	-0.342	2.085
ajdovščina	0	84	-0.259	2.126
ajet	-2	1	-2.110	0.000
ajn	-1	2	-0.860	1.768
akademija	1	52	1.002	2.050
akademik	0	12	-0.027	1.794
akademski	1	18	0.709	1.767
akadem.	1	1	1.390	0.000
akcija	1	383	0.684	2.192
akcijski	1	47	0.920	1.536
aker	3	1	2.890	0.000
aki	3	1	2.890	0.000
aklamacija	0	1	0.390	0.000
aklimatizacija	3	1	2.890	0.000
akna	-2	1	-2.110	0.000
akontacija	0	59	-0.235	1.590
akreditacija	1	8	0.859	1.997
akreditacijski	0	43	-0.116	1.519
akreditirati	0	1	0.390	0.000
akrilamid	-2	8	-2.422	0.884
akrobacija	-1	2	-0.860	1.768
akrobatski	0	1	0.390	0.000
akropola	1	3	0.807	3.608
akt	0	122	0.175	1.732
akter	0	47	-0.378	1.755
akterka	3	1	2.890	0.000
aktiv	-1	29	-0.774	1.946
aktiva	0	67	-0.407	1.524
aktivacija	3	1	2.890	0.000
aktiven	0	356	0.068	1.959
aktiviran	-1	5	-0.610	2.850
aktiviranje	-1	4	-1.485	1.614
aktivirati	1	27	0.575	1.507
aktivist	-1	27	-0.968	2.263
aktivistka	2	4	2.265	1.250
aktivizem	0	3	-0.027	1.909
aktivno	1	94	0.818	1.976
aktivnost	0	564	0.157	1.796
aktor	0	3	0.390	0.000
aktualen	0	203	0.305	1.822
aktualizirati	-2	1	-2.110	0.000
aktualno	1	9	0.668	1.954
aktualnost	-1	4	-0.548	1.197
akumulacija	0	1	0.390	0.000
akumulacijski	0	3	-0.027	0.722
akumulator	1	10	1.348	2.013
akumulatorski	-2	3	-1.693	4.018
akumuliranje	-2	1	-2.110	0.000
akustičen	2	3	2.473	0.722
akustika	2	8	1.640	1.443
akuten	-2	14	-1.783	2.381
akvarij	-3	5	-2.610	3.260
akvatorij	3	1	2.890	0.000
akvizicija	2	1	1.640	0.000
al	1	49	0.788	1.936
alah	0	1	0.390	0.000
alarm	-2	16	-1.638	2.040
alarmanten	-2	12	-2.214	1.804
alarmen	0	1	0.390	0.000
alaska	4	3	3.723	0.722
albanski	-1	13	-0.892	1.928
albin	0	16	-0.443	1.394
album	-1	3	-0.860	2.165
alea	0	30	-0.217	1.293
aleja	3	1	2.890	0.000
aleksandra	0	18	0.196	1.720
aleksija	3	2	2.890	0.000
alergen	0	5	0.390	2.041
alergičen	-1	4	-1.172	2.772
alergija	-2	12	-1.589	1.550
alergijski	0	6	-0.360	2.592
alergik	3	1	2.890	0.000
alergologija	-1	1	-0.860	0.000
alfa	1	7	0.676	2.143
alfa romeo	-1	1	-0.860	0.000
alga	-2	3	-1.693	0.722
ali	0	6497	-0.082	1.753
alias	0	1	0.390	0.000
alibi	-1	2	-0.860	1.768
alinea	1	1	0.807	0.000
alineja	1	5	1.140	1.677
aliti	0	1	0.390	0.000
aljaški	2	3	2.057	0.722
alkaloid	1	3	1.223	1.443
alkohol	-1	148	-1.148	2.520
alkoholen	-2	82	-1.530	1.961
alkoholik	-2	1	-2.110	0.000
alkoholiziranost	3	1	2.890	0.000
alkotest	0	4	-0.235	3.750
alma	3	1	2.890	0.000
almaz	3	1	2.890	0.000
alo	0	2	0.390	0.000
aloa	5	1	5.390	0.000
alociran	3	1	2.890	0.000
alocirati	0	1	0.390	0.000
alokacija	0	6	-0.235	0.685
alpe	0	192	-0.110	1.661
alpine	0	67	-0.101	1.264
alpinist	1	18	1.419	2.803
alpinističen	1	3	1.223	2.887
alpinizem	0	1	0.390	0.000
alpski	0	31	0.455	2.112
alt	0	37	0.471	1.309
alternativa	0	97	0.185	1.694
alternativec	3	1	2.890	0.000
alternativen	1	92	0.658	1.732
alternator	0	2	0.390	3.536
altruizem	0	1	0.390	0.000
alu	0	3	0.390	2.165
aluminij	1	24	1.057	2.602
aluminijast	3	4	2.890	0.000
aluminijev	2	2	2.265	0.884
aluminijski	1	4	0.702	3.870
alveol	-1	2	-0.860	1.768
alveola	0	1	0.390	0.000
alžirski	-1	4	-0.548	1.197
